ID,Descricao,PopSize,Geracoes,TaxaMutacao,TaxaCrossover,Elitismo,Convergencias,TempoMedio_ms,TaxaConvergencia,AcrescimoTempo_pct
V0,Baseline Etapa 3 (V15),100,75,0.50,0.80,0.20,2376,2.1786,47.5,0.0
V1,PositionalErrorFitness,100,75,0.50,0.80,0.20,1055,2.9818,21.1,36.9
V2,PositionalError + Mut 60%,100,75,0.60,0.80,0.20,1206,3.0323,24.1,39.2
V3,PositionalError + Tournament,100,75,0.50,0.80,0.20,687,1.6259,13.7,-25.4
V4,PositionalError + CyclicCross,100,75,0.50,0.80,0.20,892,2.9000,17.8,33.1
V5,Global + Geracoes 110,100,110,0.50,0.80,0.20,2473,3.0015,49.5,37.8
V6,Global + Pop 150,150,75,0.50,0.80,0.20,2556,3.8388,51.1,76.2
V7,Global + Pop 200 + Ger 100,200,100,0.50,0.80,0.20,2744,7.4302,54.9,241.1
